30.10.2019 13:01:00	C:\Apps\freeSpaceDisk\freeSpaceDisk.vbs
30.10.2019 13:01:00	VHV-APACHE-01	C: free 46305570816 of 107004030976
30.10.2019 13:01:00	VHV-BACKUP-01	C: free 42246053888 of 106999263232
30.10.2019 13:01:00	VHV-BACKUP-01	D: free 6774651269120 of 8894171574272
30.10.2019 13:01:00	VHV-BACKUP-3	C: free 33420861440 of 63869808640
30.10.2019 13:01:00	VHV-BACKUP-3	D: free 443175026688 of 858856091648
30.10.2019 13:01:00	VHV-DC-1	C: free 99597070336 of 144400445440
30.10.2019 13:01:00	VHV-DC-2	C: free 48936706048 of 107005079552
30.10.2019 13:01:00	VHV-FS-1	C: free 23568543744 of 83518025728
30.10.2019 13:01:00	VHV-FS-1	D: free 218021937152 of 1716392030208
30.10.2019 13:01:00	VHV-HV-1	C: free 72157503488 of 104489545728
30.10.2019 13:01:00	VHV-HV-1	D: free 264250277888 of 894784499712
30.10.2019 13:01:00	VHV-HV-1	E: free 1479815077888 of 2198886936576
30.10.2019 13:01:00	VHV-HV-2	C: free 69369913344 of 107810369536
30.10.2019 13:01:00	VHV-HV-2	D: free 871083286528 of 891288547328
30.10.2019 13:01:00	VHV-ISASUTP-01	C: free 195087392768 of 249690058752
30.10.2019 13:01:00	VHV-ISASUTP-01	D: free 155483615232 of 500104687616
30.10.2019 13:01:00	VHV-KSC-1	C: free 18091573248 of 74791776256
30.10.2019 13:01:00	VHV-MAIL-1	C: free 30436573184 of 102559117312
30.10.2019 13:01:00	VHV-MAIL-1	D: free 67853672448 of 262142947328
30.10.2019 13:01:00	VHV-PRN-1	C: free 34690326528 of 63869808640
30.10.2019 13:01:01	VHV-SCCM-SS-1	C: free 55112093696 of 107374178304
30.10.2019 13:01:01	VHV-SCCM-SS-1	D: free 176254435328 of 235853049856
30.10.2019 13:01:01	VHV-SIM-1	C: free 28784570368 of 63869808640
30.10.2019 13:01:01	VHV-VCENTER-1	C: free 38591283200 of 85792387072
30.10.2019 13:01:01	VHV-WSUS-1	C: free 17169743872 of 428939931648
30.10.2019 13:01:01	VHV-WTSE-00	C: free 11367133184 of 107266174976
