#Russian - win-1251
0410 C0
0411 C1
0412 C2
0413 C3
0414 C4
0415 C5
0416 C6
0417 C7
0418 C8
0419 C9
041A CA
041B CB
041C CC
041D CD
041E CE
041F CF
0420 D0
0421 D1
0422 D2
0423 D3
0424 D4
0425 D5
0426 D6
0427 D7
0428 D8
0429 D9
042A DA
042B DB
042C DC
042D DD
042E DE
042F DF
0430 E0
0431 E1
0432 E2
0433 E3
0434 E4
0435 E5
0436 E6
0437 E7
0438 E8
0439 E9
043A EA
043B EB
043C EC
043D ED
043E EE
043F EF
0440 F0
0441 F1
0442 F2
0443 F3
0444 F4
0445 F5
0446 F6
0447 F7
0448 F8
0449 F9
044A FA
044B FB
044C FC
044D FD
044E FE
044F FF
0401 A8
0451 B8
