#Russian - DOS-866, OS/2
0410 80
0411 81
0412 82
0413 83
0414 84
0415 85
0416 86
0417 87
0418 88
0419 89
041A 8A
041B 8B
041C 8C
041D 8D
041E 8E
041F 8F
0420 90
0421 91
0422 92
0423 93
0424 94
0425 95
0426 96
0427 97
0428 98
0429 99
042A 9A
042B 9B
042C 9C
042D 9D
042E 9E
042F 9F
0430 A0
0431 A1
0432 A2
0433 A3
0434 A4
0435 A5
0436 A6
0437 A7
0438 A8
0439 A9
043A AA
043B AB
043C AC
043D AD
043E AE
043F AF
0440 E0
0441 E1
0442 E2
0443 E3
0444 E4
0445 E5
0446 E6
0447 E7
0448 E8
0449 E9
044A EA
044B EB
044C EC
044D ED
044E EE
044F EF
0401 F0
0451 F1
